,Neighborhood,YearBuilt,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
400,GREATER DUWAMISH,1953,1,Refrigerated Warehouse,100000.0,Office,4099.0,Parking,0.0,,167.3999939,17427156.0,0.0,17283711.0,411705.0,142.36,1.37
401,NORTHWEST,2003,1,Supermarket/Grocery Store,51722.0,Parking,0.0,None,0.0,41.0,291.5,15076756.0,0.0,7956442.0,6758820.0,414.43,7.12
402,NORTH,1980,1,Supermarket/Grocery Store,44431.0,None,0.0,None,0.0,37.0,254.6000061,11311432.0,0.0,6817771.0,4236763.0,272.54,4.66
403,LAKE UNION,2005,6,Office,217977.0,Parking,4569.0,Retail Store,0.0,95.0,42.20000076,9200102.0,0.0,7877393.0,0.0,54.92,0.16
404,LAKE UNION,1996,4,Retail Store,98863.0,None,0.0,None,0.0,42.0,105.5999985,10443463.0,0.0,7307906.0,2629800.0,190.61,0.72
405,CENTRAL,1914,2,Office,60676.0,Parking,13780.0,Services,1324.0,32.0,87.80000305,5444253.5,0.0,5431426.0,12827.0,38.55,0.62
406,GREATER DUWAMISH,1970,1,Office,60732.0,Other,8142.0,None,0.0,89.0,52.09999847,3586460.5,0.0,1705793.0,1475252.0,90.24,1.38
407,NORTHEAST,2006,3,Office,83715.0,Parking,18575.0,None,0.0,26.0,73.0,6114351.5,0.0,5913177.0,149593.0,49.17,0.48
408,CENTRAL,1926,3,Other,74864.0,None,0.0,None,0.0,,163.3999939,12232124.0,0.0,12232122.0,0.0,85.28,1.07
409,GREATER DUWAMISH,1991,2,Non-Refrigerated Warehouse,263528.0,Office,60388.0,None,0.0,92.0,27.10000038,8767252.0,0.0,3548085.0,4475979.0,262.45,0.81
410,GREATER DUWAMISH,1932,14,Office,218918.0,Parking,156487.0,Medical Office,84051.89844,66.0,70.30000305,21290090.0,0.0,18843504.0,2183891.0,247.35,0.81
411,LAKE UNION,1978,4,Office,50235.0,Parking,25525.0,Data Center,2875.0,,92.5,4910799.5,0.0,4855036.0,0.0,33.85,0.4
412,GREATER DUWAMISH,1989,2,Distribution Center,63896.0,Office,33712.0,None,0.0,94.0,21.60000038,2109093.75,0.0,1373037.0,615298.0,42.25,0.43
413,LAKE UNION,1928,1,Office,20000.0,Parking,15000.0,Other,10000.0,,91.90000153,2758081.75,0.0,1612547.0,991384.0,63.89,0.98
414,LAKE UNION,1990,5,Office,78521.0,Parking,66650.0,None,0.0,62.0,67.69999695,5318277.0,0.0,5135039.0,0.0,35.8,0.25
415,NORTH,1950,2,Retail Store,302812.0,None,0.0,None,0.0,97.0,25.70000076,7783388.0,0.0,5590290.0,1700534.0,129.29,0.43
416,NORTHWEST,1974,5,Office,78200.0,None,0.0,None,0.0,53.0,118.5,9266020.0,0.0,4089680.0,4990341.0,293.55,3.4
417,NORTH,1969,2,Strip Mall,98539.0,None,0.0,None,0.0,,55.79999924,5502264.5,0.0,5266334.0,184107.0,46.49,0.47
418,NORTHWEST,1981,6,Office,86483.0,Parking,0.0,None,0.0,56.0,76.69999695,6636482.5,0.0,6361236.0,0.0,44.35,0.51
419,DELRIDGE,1976,1,Distribution Center,34400.0,Office,17200.0,None,0.0,75.0,23.20000076,1196293.25,0.0,815508.0,309035.0,22.1,0.43
420,DELRIDGE,1968,1,Non-Refrigerated Warehouse,140520.0,None,0.0,None,0.0,61.0,17.79999924,2502923.5,0.0,1310524.0,914988.0,57.73,0.41
421,MAGNOLIA / QUEEN ANNE,1986,5,Office,91645.0,Parking,66288.0,None,0.0,95.0,50.59999847,4636396.5,0.0,4060681.0,575715.0,58.88,0.38
422,NORTHWEST,2005,3,Parking,91935.0,Medical Office,69854.0,None,0.0,,101.0999985,7063953.5,0.0,6947606.0,16010.0,49.28,0.3
423,NORTHWEST,2005,3,Medical Office,60670.0,Retail Store,3239.0,None,0.0,,74.59999847,4765753.5,0.0,4765753.0,0.0,33.22,0.52
424,NORTHWEST,1948,2,Non-Refrigerated Warehouse,46846.0,Office,10033.0,None,0.0,,18.70000076,1065308.875,0.0,381025.0,590131.0,34.0,0.64
425,GREATER DUWAMISH,1980,1,Non-Refrigerated Warehouse,50417.0,None,0.0,None,0.0,14.0,42.59999847,2149815.75,0.0,855017.0,992384.0,58.67,1.16
426,DOWNTOWN,1900,1,Restaurant,43728.0,None,0.0,None,0.0,,271.1000061,11854450.0,0.0,0.0,11508035.0,611.19,13.98
427,NORTHWEST,1961,3,Medical Office,133298.0,None,0.0,None,0.0,21.0,120.3000031,16041286.0,0.0,11600182.0,4040810.0,295.48,2.22
428,NORTH,1965,2,Retail Store,173106.0,None,0.0,None,0.0,78.0,38.79999924,6718441.0,0.0,5456882.0,998946.0,91.1,0.54
429,LAKE UNION,2002,5,Parking,113318.0,Laboratory,84000.0,Office,84000.0,,284.7000122,47837524.0,0.0,29154854.0,17947572.0,1156.45,4.59
430,LAKE UNION,2000,4,Office,103970.0,Parking,71390.0,None,0.0,91.0,62.40000153,6486377.5,0.0,6486377.0,0.0,45.22,0.26
431,GREATER DUWAMISH,1969,2,Non-Refrigerated Warehouse,104786.0,None,0.0,None,0.0,93.0,11.0,1153253.75,0.0,666718.0,361659.0,23.86,0.23
432,GREATER DUWAMISH,2000,1,Other,51427.0,None,0.0,None,0.0,,37.0,1901429.125,0.0,955967.0,814060.0,49.9,0.94
433,GREATER DUWAMISH,1973,1,Other,110689.0,None,0.0,None,0.0,,25.20000076,2789899.0,0.0,356328.0,1983486.0,107.83,0.97
434,GREATER DUWAMISH,1948,1,Office,53620.0,None,0.0,None,0.0,86.0,40.0,2145554.75,0.0,1890584.0,168371.0,22.12,0.41
435,GREATER DUWAMISH,1938,1,Office,50008.0,None,0.0,None,0.0,62.0,67.59999847,3380481.5,0.0,2270837.0,931375.0,65.3,1.31
436,MAGNOLIA / QUEEN ANNE,2009,4,Office,194674.0,Parking,111198.0,None,0.0,98.0,34.20000076,6657348.5,0.0,6585119.0,72228.0,49.74,0.17
437,GREATER DUWAMISH,1957,1,Non-Refrigerated Warehouse,43920.0,Office,6912.0,None,0.0,63.0,50.20000076,2551022.25,0.0,613991.0,1937032.0,107.16,2.11
438,GREATER DUWAMISH,1971,1,Refrigerated Warehouse,76486.0,None,0.0,None,0.0,70.0,36.5,2792753.5,0.0,2832924.0,10109.0,20.29,0.27
439,GREATER DUWAMISH,1956,1,Non-Refrigerated Warehouse,98480.0,None,0.0,None,0.0,65.0,29.39999962,2898646.0,0.0,2403347.0,428218.0,39.5,0.4
441,LAKE UNION,2008,3,Office,66737.0,Parking,58218.0,Laboratory,30230.0,,235.6000061,22846738.0,0.0,12047762.0,10482405.0,640.71,3.64
442,LAKE UNION,1920,3,Other,106003.0,Parking,63782.0,None,0.0,,183.1999969,19419744.0,0.0,13249663.0,5905752.0,406.02,2.39
443,LAKE UNION,1971,11,Office,107594.0,Restaurant,15600.0,Parking,12000.0,58.0,115.0,14339818.0,0.0,8069980.0,5828201.0,365.79,2.93
444,LAKE UNION,1970,7,Office,93905.0,Parking,31348.0,None,0.0,70.0,60.29999924,5662234.0,0.0,5662234.0,0.0,39.47,0.42
445,GREATER DUWAMISH,1974,1,Non-Refrigerated Warehouse,93020.0,None,0.0,None,0.0,60.0,13.5,1252323.875,0.0,1252324.0,0.0,8.73,0.09
446,DOWNTOWN,1946,1,Other,20310.0,Office,2689.600098,None,0.0,,36.79999924,845892.1875,0.0,260639.0,450480.0,25.74,1.12
447,SOUTHEAST,2002,1,Supermarket/Grocery Store,54434.0,Parking,0.0,None,0.0,32.0,249.1999969,13564414.0,0.0,8474644.0,4658580.0,306.5,5.02
448,DOWNTOWN,1913,7,Office,193154.0,None,0.0,None,0.0,100.0,58.79999924,11348758.0,0.0,1608768.0,343050.0,29.43,0.19
449,DOWNTOWN,1904,5,Office,78564.0,None,0.0,None,0.0,88.0,36.0,2830674.75,0.0,2830674.0,0.0,19.73,0.25
450,DOWNTOWN,1906,7,Office,65088.0,Retail Store,23857.0,None,0.0,64.0,75.0,6669621.5,0.0,4685851.0,1920981.0,134.69,1.35
451,DOWNTOWN,1907,6,Office,63871.0,None,0.0,None,0.0,82.0,47.29999924,3020795.0,0.0,2853189.0,0.0,19.89,0.27
452,DOWNTOWN,1900,4,Office,34647.0,Retail Store,26039.0,None,0.0,87.0,39.20000076,2380143.75,771085.1875,1245123.0,161866.0,76.8,1.1
453,DOWNTOWN,1900,4,Office,41609.0,Enclosed Mall,28734.0,None,0.0,,30.79999924,2165173.25,0.0,1846842.0,247883.0,26.04,0.31
454,DOWNTOWN,1900,6,Office,45799.0,Retail Store,9739.0,Restaurant,4689.0,,62.09999847,3740114.25,0.0,3570162.0,0.0,24.89,0.33
455,DOWNTOWN,1900,4,Office,123607.0,Retail Store,20795.0,None,0.0,79.0,53.90000153,7778893.0,399538.3125,6196714.0,1059498.0,130.31,0.79
456,DOWNTOWN,1907,7,Office,160580.0,None,0.0,None,0.0,98.0,28.0,4501784.0,347207.9063,3014081.0,974898.0,99.59,0.62
457,DOWNTOWN,1909,6,Office,47145.0,Non-Refrigerated Warehouse,9477.0,Retail Store,9477.0,83.0,51.59999847,3408133.75,0.0,3212269.0,0.0,22.39,0.3
458,DOWNTOWN,1906,3,Other,33647.0,Office,19705.0,Entertainment/Public Assembly,11988.0,,31.0,2031594.375,0.0,1904480.0,0.0,13.28,0.2
459,GREATER DUWAMISH,1910,3,Office,26250.0,Distribution Center,18050.0,Non-Refrigerated Warehouse,12400.0,37.0,43.40000153,2462293.5,0.0,2045416.0,326159.0,31.58,0.56
460,GREATER DUWAMISH,1922,1,Non-Refrigerated Warehouse,58472.0,Retail Store,23282.0,None,0.0,83.0,30.20000076,2472120.0,0.0,1058065.0,1095539.0,65.56,0.79
461,GREATER DUWAMISH,1953,2,Other,50500.0,Distribution Center,18000.0,Office,7604.0,,60.59999847,4608482.0,0.0,1705403.0,2272874.0,132.6,1.73
462,GREATER DUWAMISH,1962,2,Distribution Center,85343.0,Office,13435.0,None,0.0,56.0,35.09999847,3471977.25,0.0,2024573.0,1130923.0,74.18,0.8
463,GREATER DUWAMISH,1941,2,Manufacturing/Industrial Plant,142901.0,None,0.0,None,0.0,,15.69999981,2244317.0,0.0,2244317.0,0.0,15.65,0.12
464,GREATER DUWAMISH,1900,4,Office,104869.0,None,0.0,None,0.0,80.0,41.70000076,4374646.0,0.0,4374645.0,0.0,30.5,0.24
465,GREATER DUWAMISH,1954,1,Non-Refrigerated Warehouse,78814.0,None,0.0,None,0.0,69.0,11.60000038,911161.3125,0.0,635127.0,226846.0,16.48,0.21
467,GREATER DUWAMISH,1910,6,Distribution Center,51040.0,Office,10500.0,Parking,6000.0,15.0,43.70000076,2688675.75,0.0,2688675.0,0.0,18.74,0.25
468,GREATER DUWAMISH,1907,4,Distribution Center,39884.0,Non-Refrigerated Warehouse,9270.0,Office,4116.0,,18.79999924,1056782.125,0.0,1056782.0,0.0,7.37,0.13
469,DOWNTOWN,1904,4,Office,43122.0,Retail Store,10514.0,None,0.0,31.0,103.5,5550151.0,0.0,3457540.0,2151060.0,138.35,2.07
470,DOWNTOWN,1909,6,Office,65508.0,Parking,10918.0,None,0.0,81.0,45.40000153,2972492.75,0.0,2891229.0,376.0,20.18,0.27
471,DOWNTOWN,1904,7,Office,183916.0,Data Center,406.0,None,0.0,81.0,52.70000076,9722890.0,0.0,9722889.0,0.0,67.78,0.37
472,DOWNTOWN,2009,7,Office,273812.0,Retail Store,12102.0,None,0.0,43.0,89.40000153,25567108.0,0.0,25482582.0,84524.0,182.14,0.63
473,GREATER DUWAMISH,1914,2,Office,63000.0,None,0.0,None,0.0,53.0,97.09999847,6114759.5,0.0,2952139.0,3016015.0,180.76,2.8
474,GREATER DUWAMISH,2009,6,Parking,111774.0,Office,108747.0,Other,49271.0,,362.6000061,63172816.0,0.0,63822136.0,13053.0,445.62,1.56
475,GREATER DUWAMISH,1926,7,Non-Refrigerated Warehouse,144050.0,None,0.0,None,0.0,26.0,30.20000076,4347677.0,0.0,2389825.0,1539546.0,98.43,0.68
476,GREATER DUWAMISH,1930,3,Office,60384.0,None,0.0,None,0.0,16.0,84.59999847,5107519.5,0.0,4788414.0,261032.0,47.25,0.78
477,GREATER DUWAMISH,1912,6,Office,1000730.0,Retail Store,281296.0,Non-Refrigerated Warehouse,220303.0,79.0,50.09999847,75252304.0,0.0,67760546.0,6370020.0,810.7,0.59
478,GREATER DUWAMISH,1993,1,Retail Store,107704.0,None,0.0,None,0.0,57.0,70.5,7589347.5,0.0,6136093.0,1085388.0,100.42,0.93
479,GREATER DUWAMISH,1926,1,Non-Refrigerated Warehouse,99084.0,None,0.0,None,0.0,83.0,18.60000038,1838287.25,0.0,795088.0,823022.0,49.25,0.5
480,DELRIDGE,1953,1,Distribution Center,72719.0,None,0.0,None,0.0,28.0,38.20000076,2774363.5,0.0,2045435.0,536307.0,42.74,0.59
481,EAST,1930,4,Office,76624.0,None,0.0,None,0.0,91.0,41.29999924,3166841.75,0.0,2468547.0,305100.0,33.41,0.44
482,NORTHEAST,2001,6,Office,53281.0,Parking,34701.0,Other,3724.0,2.0,150.3000031,8570571.0,0.0,8570570.0,0.0,59.75,0.65
483,LAKE UNION,2008,5,Medical Office,89131.0,Parking,37652.0,Other,5615.0,6.0,210.0,19892050.0,0.0,11800324.0,7448407.0,477.85,3.7
484,DELRIDGE,1991,5,Office,119083.0,Parking,16221.0,None,0.0,41.0,70.40000153,8381834.5,0.0,8381833.0,0.0,58.43,0.42
485,GREATER DUWAMISH,1973,1,Retail Store,56576.0,None,0.0,None,0.0,66.0,44.90000153,2540840.5,0.0,1315085.0,1094344.0,67.29,1.19
487,EAST,2004,0,Medical Office,200184.0,None,0.0,None,0.0,53.0,103.6999969,20764814.0,7815663.0,12744957.0,0.0,692.12,3.06
489,DOWNTOWN,2000,11,Office,303312.0,Data Center,4738.0,Restaurant,4462.0,,82.40000153,25747022.0,0.0,25619164.0,127855.0,185.39,0.59
490,DOWNTOWN,2005,42,Office,914832.0,Parking,348788.0,Financial Office,303910.0,97.0,45.5,56785916.0,986403.1875,55123924.0,388532.0,481.06,0.3
491,DOWNTOWN,1926,6,Office,51881.0,Data Center,11999.0,Retail Store,9713.0,,33.70000076,2478025.25,0.0,2478025.0,0.0,17.28,0.18
492,EAST,1985,10,Medical Office,197408.0,None,0.0,None,0.0,46.0,87.40000153,17254810.0,994154.3125,16260654.0,0.0,190.1,0.45
493,CENTRAL,1987,7,Medical Office,113739.0,None,0.0,None,0.0,68.0,50.5,5739540.0,0.0,5792925.0,0.0,40.38,0.43
494,DELRIDGE,2005,1,Retail Store,109758.0,None,0.0,None,0.0,79.0,53.0,5820712.5,0.0,4182901.0,1234697.0,94.74,1.0
495,EAST,2008,9,Medical Office,201365.0,Parking,86270.0,None,0.0,58.0,73.5,14802479.0,0.0,14155468.0,595647.0,130.32,0.43
496,EAST,1973,19,Medical Office,170727.0,Parking,69171.0,None,0.0,50.0,90.69999695,15490998.0,3593940.25,11473398.0,0.0,357.39,1.12
497,DOWNTOWN,1900,6,Office,114919.0,Retail Store,28643.0,None,0.0,94.0,58.90000153,8455976.0,2068666.75,4325997.0,1743952.0,282.46,1.37
498,DOWNTOWN,1900,6,Office,46000.0,Retail Store,10500.0,None,0.0,55.0,54.29999924,3065954.5,0.0,3065954.0,0.0,21.37,0.38
499,GREATER DUWAMISH,1925,4,Office,72000.0,None,0.0,None,0.0,89.0,38.0,2739121.5,0.0,2632591.0,96576.0,23.48,0.33
500,MAGNOLIA / QUEEN ANNE,2000,4,Office,103000.0,Parking,80000.0,None,0.0,93.0,49.5,5101504.5,0.0,5101504.0,0.0,35.56,0.19
501,DELRIDGE,2001,3,Recreation,50000.0,Parking,11527.0,Swimming Pool,0.0,,191.8999939,9596839.0,0.0,3670762.0,5358726.0,310.19,4.51
502,SOUTHEAST,1994,1,Strip Mall,107427.0,Parking,0.0,None,0.0,,199.3000031,21406232.0,0.0,12356956.0,8369038.0,530.62,5.2
504,DOWNTOWN,2008,14,Office,232443.0,Parking,97874.0,Other,3534.0,86.0,66.59999847,15725581.0,0.0,15566951.0,158627.0,116.95,0.32
506,MAGNOLIA / QUEEN ANNE,1994,2,Lifestyle Center,81385.0,None,0.0,None,0.0,,164.1999969,13360349.0,0.0,9206777.0,3878519.0,270.17,3.32
507,DOWNTOWN,2001,23,Office,366554.0,Parking,122821.0,None,0.0,90.0,44.59999847,16339807.0,0.0,16020640.0,0.0,111.69,0.21
509,DOWNTOWN,1983,6,Parking,197040.0,Office,78852.0,None,0.0,,66.40000153,5233553.5,0.0,5233553.0,0.0,36.49,0.13
510,MAGNOLIA / QUEEN ANNE,1982,5,Office,98668.0,None,0.0,None,0.0,91.0,44.5,4395027.0,0.0,4391348.0,0.0,30.61,0.31
512,MAGNOLIA / QUEEN ANNE,1978,1,Office,105100.0,None,0.0,None,0.0,1.0,214.8000031,22571400.0,0.0,17657706.0,4420357.0,357.86,3.4
514,MAGNOLIA / QUEEN ANNE,1978,1,Retail Store,50660.0,None,0.0,None,0.0,51.0,58.40000153,2956254.5,0.0,1747974.0,913514.0,60.7,1.2
515,MAGNOLIA / QUEEN ANNE,1937,2,Office,39879.0,None,0.0,None,0.0,59.0,60.70000076,2421613.25,0.0,1328054.0,874972.0,55.73,0.9
516,MAGNOLIA / QUEEN ANNE,2000,4,Office,104667.0,Parking,55000.0,Data Center,5444.0,1.0,231.3999939,25478086.0,0.0,25478083.0,0.0,177.62,1.08
517,MAGNOLIA / QUEEN ANNE,2000,4,Office,82273.0,Parking,42500.0,Data Center,4778.0,1.0,311.7000122,27137190.0,0.0,27137187.0,0.0,189.18,1.46
518,DOWNTOWN,1925,3,Office,20565.0,None,0.0,None,0.0,65.0,40.40000153,830100.0,0.0,802312.0,0.0,5.59,0.27
519,MAGNOLIA / QUEEN ANNE,2000,5,Office,106449.0,Parking,50258.0,None,0.0,63.0,73.80000305,7857972.5,0.0,7857972.0,0.0,54.78,0.34
520,MAGNOLIA / QUEEN ANNE,2008,5,Office,133451.0,Parking,46763.0,Data Center,3750.0,56.0,108.3000031,14856199.0,0.0,14856198.0,0.0,103.57,0.56
521,MAGNOLIA / QUEEN ANNE,1986,5,Office,109978.0,Parking,78848.0,None,0.0,95.0,52.70000076,5799664.5,0.0,3817281.0,1697027.0,116.74,0.56
522,DOWNTOWN,1986,7,Office,178625.0,Parking,87624.0,Other,14653.0,63.0,65.90000153,12729858.0,0.0,12729856.0,0.0,88.74,0.32
523,DOWNTOWN,1993,3,Office,171783.0,Non-Refrigerated Warehouse,9581.0,Recreation,4413.0,77.0,54.59999847,10445641.0,0.0,10053488.0,0.0,70.09,0.37
524,DOWNTOWN,2000,5,Office,126218.0,Data Center,12717.0,None,0.0,99.0,123.6999969,17186624.0,0.0,17186623.0,0.0,119.81,0.48
525,DOWNTOWN,1912,5,Non-Refrigerated Warehouse,95330.0,None,0.0,None,0.0,81.0,14.80000019,1411471.75,0.0,1262235.0,0.0,8.8,0.06
526,DOWNTOWN,1918,6,Office,64055.0,Adult Education,14621.0,Parking,12359.0,,47.5,4682152.5,266262.0,4248918.0,0.0,50.17,0.46
527,DOWNTOWN,1905,6,Office,110370.0,Retail Store,19801.0,Data Center,634.0,70.0,53.90000153,7046428.5,0.0,6797646.0,0.0,47.39,0.28
528,DOWNTOWN,1910,6,Office,80400.0,Retail Store,16080.0,None,0.0,86.0,54.59999847,5268183.0,0.0,3574020.0,1372778.0,97.82,0.87
529,DOWNTOWN,1910,6,Other,67670.0,Retail Store,13534.0,None,0.0,89.0,45.0,3350477.0,0.0,2235899.0,1006018.0,69.02,0.8
530,GREATER DUWAMISH,1985,2,Non-Refrigerated Warehouse,101633.0,Office,48544.0,Other,10270.0,51.0,53.70000076,8615958.0,0.0,7062138.0,1322385.0,119.46,0.82
531,GREATER DUWAMISH,1951,2,Office,110746.0,Parking,57500.0,None,0.0,66.0,95.90000153,10622784.0,0.0,8429189.0,1858797.0,157.48,1.39
532,GREATER DUWAMISH,1960,1,Distribution Center,99551.0,Office,11061.0,None,0.0,95.0,9.199999809,1015060.188,0.0,1015060.0,0.0,7.08,0.06
533,GREATER DUWAMISH,1951,4,Non-Refrigerated Warehouse,119593.0,Office,30288.0,None,0.0,97.0,19.10000038,2869350.25,0.0,705059.0,1712342.0,95.86,0.64
534,GREATER DUWAMISH,1951,3,Non-Refrigerated Warehouse,129420.0,None,0.0,None,0.0,12.0,50.70000076,6562048.5,0.0,5813591.0,654498.0,75.29,0.77
535,GREATER DUWAMISH,1970,1,Distribution Center,44300.0,Office,24838.0,Retail Store,12349.0,55.0,35.40000153,2882685.0,0.0,2848317.0,0.0,19.86,0.24
536,GREATER DUWAMISH,1961,1,Distribution Center,73335.0,Parking,0.0,None,0.0,,74.5,5459973.5,0.0,2606839.0,2590279.0,155.74,2.12
537,GREATER DUWAMISH,1928,2,Distribution Center,48400.0,Office,4276.0,Retail Store,4200.0,,35.40000153,2015776.625,0.0,1011283.0,780432.0,48.5,0.85
538,GREATER DUWAMISH,1931,2,Non-Refrigerated Warehouse,61200.0,None,0.0,None,0.0,16.0,86.40000153,5285776.5,0.0,1782902.0,3129241.0,178.62,2.92
539,GREATER DUWAMISH,1987,1,Distribution Center,109090.0,None,0.0,None,0.0,87.0,15.30000019,1667059.125,0.0,1050508.0,504912.0,34.14,0.31
540,GREATER DUWAMISH,1986,2,Public Services,65700.0,Parking,0.0,None,0.0,,113.4000015,7448018.0,0.0,4242711.0,2615822.0,168.5,2.65
542,NORTHWEST,1970,1,Supermarket/Grocery Store,168735.0,Parking,0.0,Parking,0.0,91.0,103.0,17384564.0,0.0,13051820.0,3814156.0,293.56,2.07
543,BALLARD,2001,4,Office,70074.0,None,0.0,None,0.0,5.0,68.69999695,4817062.0,0.0,4817062.0,0.0,33.58,0.36
544,MAGNOLIA / QUEEN ANNE,1974,3,Non-Refrigerated Warehouse,31582.0,Retail Store,20962.0,Office,3715.0,,47.70000076,2685146.5,0.0,817697.0,1528874.0,86.9,1.54
545,NORTHEAST,2006,6,Other,119570.0,Parking,23869.0,None,0.0,,215.1999969,25736450.0,0.0,14100771.0,11530741.0,710.7,4.95
546,LAKE UNION,2008,4,Office,105206.0,Parking,31992.0,Fitness Center/Health Club/Gym,6374.0,73.0,79.5,8873485.0,0.0,8873484.0,0.0,61.86,0.31
547,LAKE UNION,2000,2,Office,77174.0,None,0.0,None,0.0,33.0,71.0,5481549.0,0.0,5481548.0,0.0,38.21,0.5
548,MAGNOLIA / QUEEN ANNE,1998,5,Office,98781.0,Other,8634.0,Parking,0.0,57.0,63.90000153,6859198.0,0.0,6859197.0,0.0,47.82,0.43
549,LAKE UNION,2008,5,Parking,97500.0,Office,88051.0,Other,54106.0,,141.6000061,21299472.0,0.0,17407502.0,3635421.0,314.43,1.09
550,LAKE UNION,1999,4,Laboratory,97365.0,None,0.0,None,0.0,,369.1000061,35938164.0,0.0,16913185.0,19523202.0,1154.79,9.98
551,MAGNOLIA / QUEEN ANNE,2000,7,Office,163082.0,Parking,83425.0,None,0.0,88.0,53.5,8732968.0,0.0,8488392.0,167210.0,68.06,0.28
552,MAGNOLIA / QUEEN ANNE,1974,5,Office,89075.0,Parking,15164.0,None,0.0,85.0,56.5,5034942.5,0.0,4059275.0,691523.0,65.03,0.63
553,DOWNTOWN,1902,3,Office,90345.0,Parking,33380.0,Retail Store,15845.0,,115.6999969,12289373.0,0.0,8209260.0,3820339.0,260.13,3.38
554,DOWNTOWN,1975,8,Office,126648.0,Parking,23913.0,None,0.0,65.0,77.69999695,9836703.0,0.0,8155743.0,1187684.0,119.93,0.8
555,DOWNTOWN,1953,7,Office,274362.0,None,0.0,None,0.0,82.0,60.40000153,16572684.0,0.0,15836054.0,704494.0,147.82,0.54
556,DOWNTOWN,1983,15,Office,270237.0,Parking,71602.0,None,0.0,85.0,67.5,18235512.0,0.0,15083312.0,2667680.0,246.83,0.65
557,DOWNTOWN,1963,11,Office,156414.0,Bar/Nightclub,10337.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",8208.0,83.0,68.69999695,12019477.0,2887565.25,7209495.0,1383432.0,346.62,2.05
558,DOWNTOWN,1981,33,Data Center,218997.0,Office,210409.0,None,0.0,98.0,639.7999878,274725984.0,0.0,274532495.0,149672.0,1921.82,4.48
559,DOWNTOWN,1985,76,Office,1680937.0,Parking,319368.0,None,0.0,86.0,55.09999847,92537256.0,0.0,87851862.0,5085763.0,882.56,0.45
560,DOWNTOWN,1981,19,Office,312442.0,Parking,84800.0,Medical Office,18799.0,90.0,49.0,16228155.0,0.0,15878687.0,0.0,110.7,0.29
561,DOWNTOWN,1925,18,Medical Office,281598.0,Parking,27597.0,Retail Store,21519.0,68.0,76.30000305,23128454.0,6090187.5,16002341.0,11981.0,582.28,1.6
562,DOWNTOWN,1929,4,Retail Store,78920.0,None,0.0,None,0.0,80.0,105.1999969,8303666.5,0.0,7177346.0,1126320.0,109.85,1.39
564,DOWNTOWN,1999,0,Mall,561684.0,Entertainment/Public Assembly,100000.0,Restaurant,80000.0,,62.09999847,46343304.0,0.0,46510954.0,0.0,324.25,0.34
565,EAST,1908,4,Office,17120.0,Performing Arts,15300.0,Self-Storage Facility,13400.0,,70.30000305,3904791.25,0.0,973907.0,2713055.0,150.88,2.72
566,DOWNTOWN,1908,10,Office,138257.0,Retail Store,0.0,None,0.0,97.0,29.20000076,4040138.75,1530680.625,2244507.0,0.0,133.8,1.01
567,DOWNTOWN,1940,3,Retail Store,45000.0,None,0.0,None,0.0,59.0,56.29999924,2533838.5,0.0,2209419.0,233722.0,27.82,0.33
568,DOWNTOWN,1924,3,Retail Store,73563.0,None,0.0,None,0.0,39.0,106.0999985,7802205.5,0.0,7802052.0,153.0,54.4,0.7
569,DOWNTOWN,1909,6,Office,44913.0,Restaurant,7044.0,None,0.0,57.0,55.5,2886141.5,0.0,2886141.0,0.0,20.12,0.39
570,DOWNTOWN,1970,29,Office,371450.0,Parking,65451.0,Technology/Science,9295.0,43.0,96.40000153,37351804.0,0.0,32633842.0,3744742.0,426.39,0.87
571,DOWNTOWN,1929,27,Office,182604.0,Parking,13320.0,Technology/Science,6246.0,62.0,91.90000153,17352520.0,7413886.0,8704772.0,127447.0,639.72,2.95
572,DOWNTOWN,1921,13,Office,151740.0,Other,12645.0,None,0.0,13.0,115.8000031,19036416.0,0.0,19036413.0,0.0,132.71,0.7
573,DOWNTOWN,1998,13,Office,145491.0,Parking,70603.0,None,0.0,25.0,118.6999969,17267470.0,0.0,17074139.0,0.0,119.03,0.41
574,DOWNTOWN,1910,7,Office,95942.0,Retail Store,15523.0,Data Center,182.0,91.0,41.90000153,4675881.5,0.0,4371815.0,213255.0,41.8,0.34
575,DOWNTOWN,1921,3,Office,50250.0,None,0.0,None,0.0,89.0,40.59999847,2038746.5,0.0,1968655.0,0.0,13.72,0.26
576,DOWNTOWN,1911,17,Office,82053.0,Financial Office,6561.0,Food Service,6333.0,75.0,73.59999847,7066534.5,1736650.625,5021914.0,0.0,169.06,1.45
577,DOWNTOWN,1981,42,Office,983697.0,Parking,296815.0,Medical Office,12941.0,95.0,39.59999847,39518364.0,0.0,37980705.0,0.0,264.78,0.21
579,EAST,1988,5,Medical Office,81873.0,Parking,67000.0,None,0.0,15.0,104.9000015,8588643.0,0.0,7873601.0,649993.0,89.41,0.47
